citing_year	citation_intent	citation_content
2000	Contextualize	Performed Work
2000	Use	Produced Resource
2010	Justify Design Choice	Discovery
2000	Justify Design Choice	Produced Resource
2000	Signal Gap	Discovery
2000	Justify Design Choice	Performed Work
2000	Contextualize	Produced Resource
2002	Contextualize	Produced Resource
2002	Justify Design Choice	Produced Resource
2002	Use	Produced Resource
2002	Contextualize	Produced Resource
2002	Contextualize	Produced Resource
2002	Highlight Limitation	Discovery
2010	Signal Gap	Discovery
2002	Justify Design Choice	Produced Resource
2002	Use	Produced Resource
2002	Contextualize	Discovery
2002	Contextualize	Produced Resource
2002	Use	Produced Resource
2002	Contextualize	Performed Work
2002	Contextualize	Produced Resource
2002	Contextualize	Performed Work
2002	Use	Produced Resource
2002	Contextualize	Discovery
2010	Signal Gap	Discovery
2002	Contextualize	Produced Resource
2002	Highlight Limitation	Discovery
2002	Highlight Limitation	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Produced Resource
2002	Contextualize	Performed Work
2002	Contextualize	Performed Work
2002	Contextualize	Produced Resource
2002	Highlight Limitation	Discovery
2002	Contextualize	Performed Work
2011	Use	Produced Resource
2002	Use	Produced Resource
2002	Contextualize	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Contextualize	Performed Work
2005	Contextualize	Performed Work
2005	Use	Produced Resource
2005	Use	Produced Resource
2011	Contextualize	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2007	Justify Design Choice	Performed Work
2007	Signal Gap	Discovery
2007	Highlight Limitation	Discovery
2007	Contextualize	Performed Work
2007	Use	Produced Resource
2007	Contextualize	Discovery
2011	Use	Produced Resource
2007	Use	Produced Resource
2007	Use	Produced Resource
2007	Signal Gap	Performed Work
2007	Use	Produced Resource
2007	Use	Produced Resource
2007	Justify Design Choice	Produced Resource
2007	Contextualize	Performed Work
2007	Use	Produced Resource
2007	Use	Produced Resource
2007	Use	Produced Resource
2011	Signal Gap	Discovery
2007	Use	Produced Resource
2007	Contextualize	Discovery
2007	Highlight Limitation	Discovery
2007	Use	Produced Resource
2007	Justify Design Choice	Discovery
2007	Contextualize	Produced Resource
2007	Contextualize	Produced Resource
2007	Justify Design Choice	Discovery
2007	Justify Design Choice	Performed Work
2010	Contextualize	Discovery
2011	Modify	Produced Resource
2010	Use	Produced Resource
2010	Contextualize	Performed Work
2010	Contextualize	Discovery
2010	Contextualize	Discovery
2010	Use	Produced Resource
2010	Contextualize	Produced Resource
2010	Use	Produced Resource
2010	Contextualize	Discovery
2010	Use	Produced Resource
2010	Contextualize	Discovery
2011	Contextualize	Performed Work
2010	Contextualize	Discovery
2010	Contextualize	Discovery
2010	Contextualize	Discovery
2010	Contextualize	Discovery
2010	Contextualize	Discovery
2010	Evaluate Against	Discovery
2010	Evaluate Against	Discovery
2010	Use	Produced Resource
2010	Use	Produced Resource
2010	Use	Produced Resource
2011	Use	Produced Resource
2010	Use	Produced Resource
2010	Contextualize	Performed Work
2010	Use	Produced Resource
2010	Contextualize	Discovery
2010	Contextualize	Performed Work
2010	Use	Produced Resource
2010	Contextualize	Discovery
2010	Highlight Limitation	Discovery
2010	Contextualize	Performed Work
2010	Contextualize	Discovery
2000	Justify Design Choice	Produced Resource
2011	Contextualize	Produced Resource
2010	Use	Produced Resource
2010	Use	Produced Resource
2010	Contextualize	Produced Resource
2010	Signal Gap	Discovery
2010	Contextualize	Discovery
2010	Contextualize	Performed Work
2010	Use	Produced Resource
2010	Signal Gap	Discovery
2010	Contextualize	Performed Work
2010	Contextualize	Performed Work
2011	Justify Design Choice	Discovery
2010	Use	Produced Resource
2010	Use	Produced Resource
2010	Use	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Performed Work
2011	Use	Performed Work
2011	Contextualize	Performed Work
2011	Evaluate Against	Discovery
2011	Contextualize	Performed Work
2011	Use	Produced Resource
2011	Contextualize	Discovery
2011	Highlight Limitation	Discovery
2011	Use	Produced Resource
2011	Contextualize	Discovery
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Use	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2011	Contextualize	Performed Work
2011	Highlight Limitation	Discovery
2011	Evaluate Against	Discovery
2011	Signal Gap	Discovery
2011	Use	Produced Resource
2011	Contextualize	Discovery
2011	Use	Produced Resource
2011	Contextualize	Discovery
2011	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2011	Use	Produced Resource
2013	Use	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Performed Work
2013	Contextualize	Produced Resource
2013	Justify Design Choice	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2011	Contextualize	Discovery
1997	Contextualize	Discovery
1997	Contextualize	Performed Work
1997	Highlight Limitation	Discovery
1997	Contextualize	Produced Resource
1997	Highlight Limitation	Discovery
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
1997	Use	Produced Resource
1997	Contextualize	Produced Resource
1997	Evaluate Against	Discovery
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Signal Gap	Discovery
1997	Use	Produced Resource
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Use	Produced Resource
2011	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Justify Design Choice	Discovery
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Performed Work
1997	Highlight Limitation	Discovery
1997	Evaluate Against	Discovery
1997	Contextualize	Performed Work
2013	Justify Design Choice	Discovery
2013	Signal Gap	Performed Work
2011	Contextualize	Performed Work
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2000	Use	Produced Resource
2011	Contextualize	Discovery
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Use	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Discovery
2011	Contextualize	Produced Resource
2013	Contextualize	Discovery
2013	Use	Produced Resource
2013	Use	Produced Resource
2013	Justify Design Choice	Discovery
2013	Contextualize	Discovery
2013	Highlight Limitation	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Performed Work
2013	Justify Design Choice	Produced Resource
2013	Justify Design Choice	Produced Resource
2011	Justify Design Choice	Discovery
2013	Highlight Limitation	Discovery
2013	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2011	Highlight Limitation	Discovery
2000	Contextualize	Produced Resource
2000	Signal Gap	Discovery
2000	Justify Design Choice	Produced Resource
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2000	Use	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2000	Evaluate Against	Discovery
2000	Use	Produced Resource
2000	Contextualize	Performed Work
2000	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Justify Design Choice	Discovery
2000	Use	Produced Resource
2011	Contextualize	Discovery
2000	Contextualize	Performed Work
2000	Contextualize	Performed Work
2000	Contextualize	Performed Work
2000	Use	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Discovery
2001	Use	Produced Resource
2011	Contextualize	Performed Work
2001	Contextualize	Discovery
2001	Use	Produced Resource
2001	Contextualize	Discovery
2001	Contextualize	Performed Work
2001	Contextualize	Discovery
2001	Contextualize	Performed Work
2001	Contextualize	Discovery
2001	Evaluate Against	Discovery
2001	Contextualize	Performed Work
2001	Contextualize	Discovery
2011	Use	Produced Resource
2001	Use	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Signal Gap	Performed Work
2001	Contextualize	Discovery
2001	Use	Produced Resource
2001	Contextualize	Performed Work
2001	Use	Produced Resource
2001	Use	Produced Resource
2001	Contextualize	Produced Resource
2011	Contextualize	Produced Resource
2001	Contextualize	Discovery
2001	Contextualize	Discovery
2001	Contextualize	Discovery
2001	Contextualize	Performed Work
2001	Signal Gap	Performed Work
2001	Use	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Evaluate Against	Discovery
2001	Use	Produced Resource
2011	Use	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Signal Gap	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Highlight Limitation	Discovery
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2000	Highlight Limitation	Discovery
2011	Contextualize	Discovery
2001	Use	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Signal Gap	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Discovery
2001	Use	Produced Resource
2011	Contextualize	Performed Work
2001	Use	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Use	Produced Resource
2001	Contextualize	Produced Resource
2001	Use	Produced Resource
2002	Highlight Limitation	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Discovery
2011	Use	Produced Resource
2002	Highlight Limitation	Discovery
2002	Contextualize	Produced Resource
2002	Signal Gap	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Produced Resource
2002	Highlight Limitation	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Discovery
2002	Use	Produced Resource
2002	Contextualize	Produced Resource
2012	Justify Design Choice	Produced Resource
2002	Contextualize	Discovery
2002	Signal Gap	Discovery
2002	Contextualize	Discovery
2002	Contextualize	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Performed Work
2002	Signal Gap	Performed Work
2002	Contextualize	Discovery
2002	Signal Gap	Produced Resource
2002	Contextualize	Discovery
2012	Justify Design Choice	Discovery
2002	Highlight Limitation	Discovery
2002	Contextualize	Produced Resource
2002	Contextualize	Performed Work
2002	Contextualize	Performed Work
2002	Use	Produced Resource
2002	Contextualize	Discovery
2002	Use	Produced Resource
2002	Contextualize	Performed Work
2002	Contextualize	Performed Work
2002	Contextualize	Discovery
2012	Contextualize	Performed Work
2002	Contextualize	Discovery
2002	Contextualize	Performed Work
2002	Highlight Limitation	Discovery
2002	Contextualize	Performed Work
2002	Contextualize	Discovery
2002	Contextualize	Produced Resource
2002	Contextualize	Produced Resource
2002	Contextualize	Discovery
2002	Contextualize	Produced Resource
2002	Justify Design Choice	Produced Resource
2012	Contextualize	Produced Resource
2002	Contextualize	Produced Resource
2002	Highlight Limitation	Discovery
2002	Contextualize	Produced Resource
2002	Use	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Performed Work
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Performed Work
2003	Use	Produced Resource
2012	Signal Gap	Performed Work
2003	Contextualize	Performed Work
2003	Contextualize	Performed Work
2003	Highlight Limitation	Discovery
2003	Contextualize	Produced Resource
2003	Contextualize	Discovery
2003	Contextualize	Produced Resource
2003	Justify Design Choice	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Performed Work
2012	Contextualize	Performed Work
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Use	Produced Resource
2003	Contextualize	Discovery
2003	Contextualize	Produced Resource
2003	Justify Design Choice	Produced Resource
2003	Contextualize	Produced Resource
2003	Use	Performed Work
2003	Use	Produced Resource
2003	Contextualize	Produced Resource
2012	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Performed Work
2003	Contextualize	Produced Resource
2003	Use	Performed Work
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Performed Work
2004	Contextualize	Performed Work
2000	Contextualize	Discovery
2012	Contextualize	Produced Resource
2004	Justify Design Choice	Produced Resource
2004	Contextualize	Performed Work
2004	Use	Produced Resource
2004	Contextualize	Performed Work
2004	Signal Gap	Performed Work
2004	Contextualize	Produced Resource
2004	Justify Design Choice	Produced Resource
2004	Highlight Limitation	Discovery
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2012	Use	Produced Resource
2004	Use	Produced Resource
2004	Signal Gap	Performed Work
2004	Contextualize	Produced Resource
2004	Signal Gap	Performed Work
2004	Contextualize	Performed Work
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Justify Design Choice	Produced Resource
2004	Contextualize	Produced Resource
2004	Evaluate Against	Discovery
2012	Use	Produced Resource
2004	Evaluate Against	Discovery
2004	Contextualize	Produced Resource
2004	Contextualize	Discovery
2004	Evaluate Against	Discovery
2004	Contextualize	Performed Work
2004	Justify Design Choice	Discovery
2004	Contextualize	Discovery
2004	Contextualize	Performed Work
2004	Contextualize	Performed Work
2004	Justify Design Choice	Discovery
2012	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Performed Work
2004	Contextualize	Produced Resource
2004	Contextualize	Performed Work
2004	Contextualize	Performed Work
2004	Contextualize	Performed Work
2004	Use	Produced Resource
2004	Highlight Limitation	Discovery
2004	Contextualize	Performed Work
2012	Signal Gap	Performed Work
2004	Use	Produced Resource
2004	Contextualize	Performed Work
2004	Contextualize	Performed Work
2004	Use	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Performed Work
2004	Evaluate Against	Discovery
2004	Use	Produced Resource
2004	Contextualize	Performed Work
2004	Contextualize	Produced Resource
2012	Contextualize	Performed Work
2004	Contextualize	Discovery
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2005	Contextualize	Discovery
2005	Contextualize	Performed Work
2005	Use	Produced Resource
2005	Contextualize	Performed Work
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Signal Gap	Discovery
2012	Contextualize	Performed Work
2005	Justify Design Choice	Produced Resource
2005	Contextualize	Discovery
2005	Contextualize	Performed Work
2005	Justify Design Choice	Discovery
2005	Use	Produced Resource
2005	Contextualize	Performed Work
2005	Use	Performed Work
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Justify Design Choice	Discovery
2012	Use	Produced Resource
2005	Justify Design Choice	Discovery
2005	Contextualize	Performed Work
2005	Use	Performed Work
2005	Contextualize	Performed Work
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Contextualize	Performed Work
2005	Contextualize	Performed Work
2005	Contextualize	Produced Resource
2005	Contextualize	Discovery
2012	Contextualize	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2012	Contextualize	Performed Work
2006	Justify Design Choice	Performed Work
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Signal Gap	Discovery
2006	Evaluate Against	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2000	Highlight Limitation	Performed Work
2012	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Use	Produced Resource
2006	Evaluate Against	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Highlight Limitation	Performed Work
2006	Highlight Limitation	Performed Work
2006	Evaluate Against	Performed Work
2006	Contextualize	Performed Work
2006	Evaluate Against	Performed Work
2006	Contextualize	Produced Resource
2006	Signal Gap	Performed Work
2006	Contextualize	Produced Resource
2012	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Highlight Limitation	Performed Work
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2012	Use	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Justify Design Choice	Discovery
2006	Highlight Limitation	Performed Work
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Discovery
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Discovery
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2012	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Highlight Limitation	Performed Work
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	 Discovery
2006	Use	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Evaluate Against	Produced Resource
2006	Contextualize	Produced Resource
2013	Contextualize	Discovery
2006	Evaluate Against	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Contextualize	Discovery
2013	Contextualize	Performed Work
