citing_year	citation_intent	citation_content
2013	Highlight Limitation	Produced Resource
2013	Contextualize	Produced Resource
2013	Highlight Limitation	Produced Resource
2013	Evaluate Against	Produced Resource
2009	Contextualize	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Highlight Limitation	Produced Resource
2013	Evaluate Against	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Signal Gap	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Discovery
2000	Modify	Produced Resource
2009	Use	Produced Resource
2013	Justify Design Choice	Produced Resource
2013	Contextualize	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2014	Contextualize	Performed Work
2009	Contextualize	Performed Work
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Contextualize	Produced Resource
1986	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Performed Work
2009	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Contextualize	Produced Resource
1986	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Performed Work
1986	Contextualize	Performed Work
1986	Highlight Limitation	Produced Resource
1986	Use	Produced Resource
1986	Contextualize	Produced Resource
2009	Contextualize	Discovery
1986	Contextualize	Performed Work
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Use	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
1986	Contextualize	Performed Work
1986	Contextualize	Produced Resource
2009	Contextualize	Performed Work
1986	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Produced Resource
1987	Contextualize	Produced Resource
1987	Contextualize	Produced Resource
1987	Contextualize	Performed Work
2009	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Use	Produced Resource
1987	Contextualize	Performed Work
1987	Contextualize	Produced Resource
1987	Contextualize	Produced Resource
1987	Highlight Limitation	Produced Resource
1987	Contextualize	Performed Work
1987	Contextualize	Produced Resource
1987	Highlight Limitation	Produced Resource
1987	Contextualize	Performed Work
2009	Signal Gap	Produced Resource
1987	Contextualize	Performed Work
1987	Signal Gap	Produced Resource
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Contextualize	Performed Work
1987	Modify	Performed Work
1987	Use	Performed Work
1987	Contextualize	Produced Resource
1987	Justify Design Choice	Discovery
1987	Contextualize	Performed Work
2009	Signal Gap	Produced Resource
1987	Contextualize	Produced Resource
1987	Contextualize	Produced Resource
1987	Contextualize	Produced Resource
1987	Justify Design Choice	Produced Resource
1987	Contextualize	Produced Resource
1987	Use	Produced Resource
1987	Contextualize	Discovery
1987	Contextualize	Performed Work
1990	Contextualize	Discovery
1990	Contextualize	Produced Resource
2009	Signal Gap	Produced Resource
1990	Contextualize	Discovery
1990	Use	Produced Resource
1990	Contextualize	Performed Work
1990	Contextualize	Produced Resource
1990	Highlight Limitation	Produced Resource
1990	Contextualize	Discovery
1990	Highlight Limitation	Produced Resource
1990	Contextualize	Discovery
1990	Contextualize	Discovery
1990	Contextualize	Produced Resource
2009	Signal Gap	Produced Resource
1990	Contextualize	Discovery
1990	Contextualize	Discovery
1990	Contextualize	Discovery
1990	Contextualize	Produced Resource
1990	Contextualize	Performed Work
1990	Contextualize	Discovery
1990	Contextualize	Discovery
1990	Contextualize	Discovery
1990	Use	Produced Resource
1991	Justify Design Choice	Produced Resource
2000	Contextualize	Discovery
2009	Signal Gap	Produced Resource
1991	Evaluate Against	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Performed Work
1991	Contextualize	Discovery
1991	Highlight Limitation	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Discovery
2009	Signal Gap	Produced Resource
1991	Justify Design Choice	Produced Resource
1991	Contextualize	Discovery
1991	Justify Design Choice	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
2009	Signal Gap	Produced Resource
1991	Contextualize	Produced Resource
1991	Highlight Limitation	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1991	Highlight Limitation	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Discovery
1991	Contextualize	Performed Work
1991	Contextualize	Produced Resource
1991	Justify Design Choice	Discovery
2009	Signal Gap	Produced Resource
1991	Contextualize	Discovery
1991	Signal Gap	Discovery
1991	Justify Design Choice	Discovery
1991	Contextualize	Performed Work
1991	Signal Gap	Discovery
1991	Justify Design Choice	Produced Resource
1991	Use	Produced Resource
1991	Contextualize	Produced Resource
1991	Highlight Limitation	Produced Resource
1991	Signal Gap	Discovery
2009	Signal Gap	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Produced Resource
1991	Signal Gap	Discovery
1991	Justify Design Choice	Discovery
1991	Contextualize	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Performed Work
1991	Highlight Limitation	Produced Resource
2009	Signal Gap	Produced Resource
1991	Contextualize	Discovery
1991	Contextualize	Discovery
1991	Contextualize	Discovery
1991	Signal Gap	Produced Resource
1991	Contextualize	Produced Resource
1991	Contextualize	Performed Work
1991	Contextualize	Produced Resource
1991	Contextualize	Discovery
1992	Contextualize	Produced Resource
1992	Use	Produced Resource
2010	Use	Produced Resource
1992	Contextualize	Produced Resource
1992	Use	Produced Resource
1992	Contextualize	Produced Resource
1992	Contextualize	Performed Work
1992	Modify	Performed Work
1992	Use	Produced Resource
1992	Contextualize	Performed Work
1992	Justify Design Choice	Discovery
1992	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
2010	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
1992	Contextualize	Performed Work
1992	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
1992	Contextualize	Discovery
1992	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
1992	Use	Produced Resource
1992	Use	Produced Resource
2010	Use	Produced Resource
1992	Contextualize	Produced Resource
1992	Contextualize	Produced Resource
1992	Use	Produced Resource
1992	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Discovery
1997	Contextualize	Produced Resource
1997	Justify Design Choice	Discovery
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
2010	Use	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Signal Gap	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Discovery
1997	Justify Design Choice	Discovery
1997	Use	Produced Resource
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2010	Use	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
2010	Contextualize	Performed Work
1997	Contextualize	Performed Work
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Discovery
1997	Use	Produced Resource
1997	Signal Gap	Discovery
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Contextualize	Discovery
2010	Use	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
1997	Modify	Performed Work
1997	Contextualize	Performed Work
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Justify Design Choice	Discovery
1997	Contextualize	Produced Resource
1997	Justify Design Choice	Discovery
1997	Contextualize	Produced Resource
2010	Contextualize	Performed Work
1997	Contextualize	Performed Work
1997	Contextualize	Produced Resource
1997	Contextualize	Produced Resource
2015	Contextualize	Performed Work
2015	Use	Produced Resource
2015	Contextualize	Produced Resource
2015	Evaluate Against	Produced Resource
2015	Evaluate Against	Produced Resource
2015	Use	Produced Resource
2015	Use	Produced Resource
2010	Use	Produced Resource
2015	Contextualize	Performed Work
2015	Justify Design Choice	Discovery
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Contextualize	Produced Resource
2015	Contextualize	Performed Work
2015	Use	Produced Resource
2015	Justify Design Choice	Produced Resource
2010	Highlight Limitation	Produced Resource
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Contextualize	Produced Resource
2015	Modify	Produced Resource
2015	Evaluate Against	Produced Resource
2015	Contextualize	Produced Resource
2015	Use	Produced Resource
2015	Modify	Produced Resource
2015	Justify Design Choice	Discovery
2015	Use	Performed Work
2010	Contextualize	Produced Resource
2015	Contextualize	Performed Work
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Use	Produced Resource
2015	Contextualize	Produced Resource
2015	Justify Design Choice	Produced Resource
2001	Use	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2010	Use	Produced Resource
2001	Contextualize	Produced Resource
2001	Use	Produced Resource
2001	Evaluate Against	Produced Resource
2001	Use	Produced Resource
2001	Evaluate Against	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Use	Produced Resource
2012	Use	Produced Resource
2010	Justify Design Choice	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Justify Design Choice	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Signal Gap	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Performed Work
2000	Contextualize	Discovery
2000	Contextualize	Performed Work
2010	Evaluate Against	Produced Resource
2000	Contextualize	Performed Work
2000	Evaluate Against	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2000	Use	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2000	Signal Gap	Produced Resource
2000	Contextualize	Performed Work
2000	Contextualize	Discovery
2000	Justify Design Choice	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Highlight Limitation	Produced Resource
2000	Signal Gap	Performed Work
2000	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2000	Highlight Limitation	Produced Resource
2000	Contextualize	Performed Work
2000	Justify Design Choice	Discovery
2000	Justify Design Choice	Performed Work
2000	Contextualize	Performed Work
2000	Justify Design Choice	Discovery
2000	Justify Design Choice	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Signal Gap	Produced Resource
2000	Contextualize	Discovery
2000	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Signal Gap	Discovery
2000	Justify Design Choice	Discovery
2000	Contextualize	Discovery
2000	Contextualize	Produced Resource
2000	Evaluate Against	Produced Resource
2000	Use	Produced Resource
2000	Use	Produced Resource
2000	Contextualize	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2006	Justify Design Choice	Produced Resource
2006	Justify Design Choice	Produced Resource
2011	Evaluate Against	Produced Resource
2012	Contextualize	Performed Work
2012	Evaluate Against	Produced Resource
2015	Use	Produced Resource
2015	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2015	Use	Produced Resource
2015	Contextualize	Performed Work
2015	Use	Produced Resource
2001	Justify Design Choice	Discovery
2001	Use	Produced Resource
2001	Highlight Limitation	Produced Resource
2001	Justify Design Choice	Discovery
2001	Contextualize	Produced Resource
2001	Contextualize	Discovery
2001	Contextualize	Produced Resource
2000	Contextualize	Discovery
2001	Contextualize	Discovery
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Discovery
2001	Contextualize	Produced Resource
2001	Evaluate Against	Produced Resource
2001	Use	Performed Work
2001	Highlight Limitation	Produced Resource
2001	Contextualize	Discovery
2000	Justify Design Choice	Performed Work
2001	Use	Performed Work
2001	Highlight Limitation	Produced Resource
2004	Use	Produced Resource
2004	Contextualize	Discovery
2004	Contextualize	Produced Resource
2004	Contextualize	Produced Resource
2004	Use	Produced Resource
2004	Contextualize	Produced Resource
2004	Justify Design Choice	Discovery
2004	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2004	Contextualize	Discovery
2004	Contextualize	Produced Resource
2004	Justify Design Choice	Discovery
2004	Contextualize	Discovery
2004	Justify Design Choice	Produced Resource
2004	Use	Produced Resource
2004	Use	Produced Resource
2004	Contextualize	Produced Resource
2004	Contextualize	Discovery
2004	Contextualize	Performed Work
2000	Use	Produced Resource
2004	Contextualize	Discovery
2004	Modify	Produced Resource
2004	Justify Design Choice	Produced Resource
2004	Contextualize	Discovery
2004	Contextualize	Produced Resource
2010	Contextualize	Discovery
2010	Contextualize	Produced Resource
2010	Contextualize	Performed Work
2010	Contextualize	Performed Work
2010	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2010	Contextualize	Performed Work
2010	Contextualize	Performed Work
2010	Contextualize	Produced Resource
2010	Contextualize	Discovery
2010	Contextualize	Performed Work
2010	Contextualize	Performed Work
2010	Justify Design Choice	Discovery
2010	Use	Produced Resource
2010	Use	Produced Resource
2010	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2010	Contextualize	Discovery
2010	Use	Produced Resource
2010	Signal Gap	Discovery
2010	Use	Produced Resource
2010	Contextualize	Performed Work
2013	Justify Design Choice	Performed Work
2013	Use	Produced Resource
2013	Justify Design Choice	Discovery
2013	Use	Produced Resource
2000	Contextualize	Produced Resource
2000	Use	Produced Resource
2006	Use	Produced Resource
2008	Justify Design Choice	Produced Resource
2008	Use	Produced Resource
2010	Justify Design Choice	Produced Resource
2010	Justify Design Choice	Produced Resource
2010	Justify Design Choice	Produced Resource
2010	Contextualize	Produced Resource
2010	Modify	Produced Resource
2010	Justify Design Choice	Produced Resource
2006	Contextualize	Produced Resource
2000	Use	Produced Resource
2006	Signal Gap	Produced Resource
2006	Contextualize	Performed Work
2006	Signal Gap	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Signal Gap	Produced Resource
2000	Use	Produced Resource
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Signal Gap	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2000	Use	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2000	Use	Produced Resource
2006	Justify Design Choice	Discovery
2006	Modify	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Justify Design Choice	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2000	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Signal Gap	Produced Resource
2006	Contextualize	Performed Work
2006	Highlight Limitation	Produced Resource
2000	Evaluate Against	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2010	Signal Gap	Produced Resource
2010	Signal Gap	Produced Resource
2010	Evaluate Against	Performed Work
2010	Justify Design Choice	Produced Resource
2010	Signal Gap	Performed Work
2010	Signal Gap	Produced Resource
2011	Signal Gap	Produced Resource
2014	Use	Produced Resource
2000	Evaluate Against	Performed Work
2014	Justify Design Choice	Discovery
2014	Contextualize	Performed Work
2014	Justify Design Choice	Performed Work
2014	Contextualize	Discovery
2014	Justify Design Choice	Performed Work
2000	Evaluate Against	Performed Work
2000	Contextualize	Performed Work
2000	Use	Produced Resource
2000	Highlight Limitation	Performed Work
2000	Signal Gap	Produced Resource
2000	Signal Gap	Produced Resource
2008	Use	Produced Resource
2008	Justify Design Choice	Discovery
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2000	Signal Gap	Produced Resource
2008	Use	Produced Resource
2008	Use	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Highlight Limitation	Discovery
2008	Contextualize	Produced Resource
2008	Justify Design Choice	Discovery
2008	Contextualize	Performed Work
2008	Contextualize	Produced Resource
2008	Contextualize	Performed Work
2000	Contextualize	Produced Resource
2008	Highlight Limitation	Discovery
2008	Contextualize	Performed Work
2008	Contextualize	Produced Resource
2008	Use	Produced Resource
2008	Contextualize	Performed Work
2008	Use	Produced Resource
2008	Justify Design Choice	Discovery
2008	Contextualize	Produced Resource
2008	Contextualize	Performed Work
2008	Evaluate Against	Discovery
2000	Use	Produced Resource
2008	Evaluate Against	Produced Resource
2008	Contextualize	Produced Resource
2008	Highlight Limitation	Produced Resource
2008	Signal Gap	Produced Resource
2008	Contextualize	Performed Work
2008	Justify Design Choice	Discovery
2008	Contextualize	Produced Resource
2008	Signal Gap	Produced Resource
2009	Contextualize	Produced Resource
2009	Contextualize	Performed Work
2000	Contextualize	Performed Work
2009	Contextualize	Discovery
2010	Evaluate Against	Discovery
2010	Evaluate Against	Discovery
2010	Evaluate Against	Discovery
2010	Justify Design Choice	Discovery
2010	Evaluate Against	Produced Resource
2010	Contextualize	Discovery
2012	Use	Produced Resource
2012	Highlight Limitation	Produced Resource
2012	Evaluate Against	Produced Resource
2000	Contextualize	Produced Resource
2012	Modify	Produced Resource
2012	Justify Design Choice	Performed Work
2012	Modify	Produced Resource
2014	Justify Design Choice	Produced Resource
2015	Justify Design Choice	Discovery
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Evaluate Against	Produced Resource
2000	Contextualize	Discovery
2003	Use	Produced Resource
2003	Use	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2009	Evaluate Against	Produced Resource
2000	Evaluate Against	Produced Resource
2000	Contextualize	Discovery
2000	Modify	Produced Resource